Name,Description,Review,Data type,Category,Source Citation,Source Description,63 Hz,125 Hz,250 Hz,500 Hz,1000 Hz,2000 Hz,4000 Hz,8000 Hz
Fantech SBL2,Acoustic Louvre,Reviewed,Insertion Loss,Louvres,Manufacturer Data,Fantech 2019,5,10,14,22,27,25,21,17
Fantech SBL1,Acoustic Louvre,Reviewed,Insertion Loss,Louvres,Manufacturer Data,Fantech 2019,4,7,9,13,14,12,12,8
Fantech ASB Aerosound Louvre,Acoustic Louvre,Reviewed,Insertion Loss,Louvres,Manufacturer Data,Fantech 2019,1,3,7,11,12,10,10,9
"People per person, raised voice—Lw 74 dB(A)","For raised voice (-6 for normal, +6 for shouting)",Reviewed,"Lw, dB(Z)",,Guideline Document,AAAC SA guide—Music Venues and Outdoor Areas,57,57,66,72,71,66,51,51
"Children per 10, 0 - 2 years—Lw 78 dB(A) per 10",,Reviewed,"Lw, dB(Z)",,Guideline Document,AAAC Guideline for Child Care Centre Acoustic Assessment V3.0,54,60,66,72,74,71,67,64
"Children per 10, 2 - 3 years—Lw 85 dB(A) per 10",,Reviewed,"Lw, dB(Z)",,Guideline Document,AAAC Guideline for Child Care Centre Acoustic Assessment V3.1,61,67,73,79,81,78,74,70
"Children per 10, 3 - 5 years—Lw 87 dB(A) per 10",,Reviewed,"Lw, dB(Z)",,Guideline Document,AAAC Guideline for Child Care Centre Acoustic Assessment V3.2,64,70,75,81,83,80,76,72
MBS010 Road Type A (60km/hr),,Reviewed,"Lw, dB(Z)",Traffic Noise,Guideline Document,Ministerial Building Standard MBS 010 – May 2023,95,89,86,83,83,80,75,75
MBS010 Road Type A (90km/hr),,Reviewed,"Lw, dB(Z)",Traffic Noise,Guideline Document,Ministerial Building Standard MBS 010 – May 2023,97,91,88,85,85,82,77,77
MBS010 Road Type A (110km/hr),,Reviewed,"Lw, dB(Z)",Traffic Noise,Guideline Document,Ministerial Building Standard MBS 010 – May 2023,99,93,90,87,87,84,79,79
MBS010 Road Type B (60km/hr),,Reviewed,"Lw, dB(Z)",Traffic Noise,Guideline Document,Ministerial Building Standard MBS 010 – May 2023,92,86,83,80,80,77,72,72
MBS010 Road Type B (90km/hr),,Reviewed,"Lw, dB(Z)",Traffic Noise,Guideline Document,Ministerial Building Standard MBS 010 – May 2023,94,88,85,82,82,79,74,74
MBS010 Road Type B (110km/hr),,Reviewed,"Lw, dB(Z)",Traffic Noise,Guideline Document,Ministerial Building Standard MBS 010 – May 2023,96,90,87,84,84,81,76,76
MBS010 Road Type R (60km/hr),,Reviewed,"Lw, dB(Z)",Traffic Noise,Guideline Document,Ministerial Building Standard MBS 010 – May 2023,89,83,80,77,77,74,69,69
MBS010 Road Type R (90km/hr),,Reviewed,"Lw, dB(Z)",Traffic Noise,Guideline Document,Ministerial Building Standard MBS 010 – May 2023,91,85,82,79,79,76,71,71
MBS010 Road Type R (110km/hr),,Reviewed,"Lw, dB(Z)",Traffic Noise,Guideline Document,Ministerial Building Standard MBS 010 – May 2023,93,87,84,81,81,78,73,73
MBS010 Train ,,Reviewed,"Lw, dB(Z)",Traffic Noise,Guideline Document,Ministerial Building Standard MBS 010 – May 2023,83,84,76,75,74,69,63,63
MBS010 Tram,,Reviewed,"Lw, dB(Z)",Traffic Noise,Guideline Document,Ministerial Building Standard MBS 010 – May 2023,78,75,75,70,66,68,64,64
"Mitsubishi PWFY-P100,200VM-E-AU",Water Unit - Hot Water Supply (Water HEX unit),Reviewed,"Lw, dB(Z)",Building Services,Manufacturer Data,City Multi Series AC&R 2011 spreadsheet,56,46,47,39,36.5,28.5,29,26
